RAW_DATA,DATE,LINE,RESULT,FULL_DATE,FREE_CELL,TOTAL_ZEROS,TOTAL_ONES,RATIO,
,,,,,24230,"20,755.00",3475,20755:3475,
22:25:51.297800|0.23|0.0|2019-04-11 02:25:51.297850,22:25:51,0.23,0,2019-04-11 2:25:51,,,,,
22:25:52.472112|0.24|0.0|2019-04-11 02:25:52.472206,22:25:52,0.24,0,2019-04-11 2:25:52,,,,,
22:30:07.042299|0.0|0.0|2019-04-11 02:30:07.042355,22:30:07,0,0,2019-04-11 2:30:07,,,,,
22:30:08.526667|0.1|0.0|2019-04-11 02:30:08.526720,22:30:09,0.1,0,2019-04-11 2:30:09,,,,,
22:30:09.888916|0.2|0.0|2019-04-11 02:30:09.888961,22:30:10,0.2,0,2019-04-11 2:30:10,,,,,
22:30:11.110626|0.17|0.0|2019-04-11 02:30:11.110684,22:30:11,0.17,0,2019-04-11 2:30:11,,,,,
22:30:12.439757|0.4|0.0|2019-04-11 02:30:12.439813,22:30:12,0.4,0,2019-04-11 2:30:12,,,,,
22:30:13.867857|0.5|0.0|2019-04-11 02:30:13.867928,22:30:14,0.5,0,2019-04-11 2:30:14,,,,,
22:30:15.060530|0.6|0.0|2019-04-11 02:30:15.060617,22:30:15,0.6,0,2019-04-11 2:30:15,,,,,
22:30:16.397651|0.7|0.0|2019-04-11 02:30:16.397701,22:30:16,0.7,0,2019-04-11 2:30:16,,,,,
22:30:17.633302|0.8|0.0|2019-04-11 02:30:17.633521,22:30:18,0.8,0,2019-04-11 2:30:18,,,,,
22:30:19.111077|0.9|0.0|2019-04-11 02:30:19.111129,22:30:19,0.9,0,2019-04-11 2:30:19,,,,,
22:30:20.598602|0.11|0.0|2019-04-11 02:30:20.598645,22:30:21,0.11,0,2019-04-11 2:30:21,,,,,
22:30:21.690298|0.12|0.0|2019-04-11 02:30:21.690380,22:30:22,0.12,0,2019-04-11 2:30:22,,,,,
22:30:22.848652|0.13|0.0|2019-04-11 02:30:22.848708,22:30:23,0.13,0,2019-04-11 2:30:23,,,,,
22:30:23.889547|0.14|0.0|2019-04-11 02:30:23.889666,22:30:24,0.14,0,2019-04-11 2:30:24,,,,,
22:30:25.083654|0.15|0.0|2019-04-11 02:30:25.083701,22:30:25,0.15,0,2019-04-11 2:30:25,,,,,
22:30:26.240345|0.16|0.0|2019-04-11 02:30:26.240406,22:30:26,0.16,0,2019-04-11 2:30:26,,,,,
22:30:27.990286|0.18|0.0|2019-04-11 02:30:27.990346,22:30:28,0.18,0,2019-04-11 2:30:28,,,,,
22:30:29.524862|0.19|0.0|2019-04-11 02:30:29.524930,22:30:30,0.19,0,2019-04-11 2:30:30,,,,,
22:30:31.009533|0.21|0.0|2019-04-11 02:30:31.009598,22:30:31,0.21,0,2019-04-11 2:30:31,,,,,
22:30:32.322472|0.22|0.0|2019-04-11 02:30:32.322525,22:30:32,0.22,0,2019-04-11 2:30:32,,,,,
22:30:33.465429|0.23|0.0|2019-04-11 02:30:33.465482,22:30:33,0.23,0,2019-04-11 2:30:33,,,,,
22:30:34.632207|0.24|0.0|2019-04-11 02:30:34.632263,22:30:35,0.24,0,2019-04-11 2:30:35,,,,,
22:35:29.825955|0.0|0.0|2019-04-11 02:35:29.826005,22:35:30,0,0,2019-04-11 2:35:30,,,,,
22:35:31.251696|0.1|0.0|2019-04-11 02:35:31.251769,22:35:31,0.1,0,2019-04-11 2:35:31,,,,,
22:35:32.629094|0.2|0.0|2019-04-11 02:35:32.629150,22:35:33,0.2,0,2019-04-11 2:35:33,,,,,
22:35:34.053313|0.17|0.0|2019-04-11 02:35:34.053372,22:35:34,0.17,0,2019-04-11 2:35:34,,,,,
22:35:35.192260|0.4|0.0|2019-04-11 02:35:35.192333,22:35:35,0.4,0,2019-04-11 2:35:35,,,,,
22:35:36.548399|0.5|0.0|2019-04-11 02:35:36.548459,22:35:37,0.5,0,2019-04-11 2:35:37,,,,,
22:35:37.691789|0.6|0.0|2019-04-11 02:35:37.691853,22:35:38,0.6,0,2019-04-11 2:35:38,,,,,
22:35:39.006487|0.7|0.0|2019-04-11 02:35:39.006575,22:35:39,0.7,0,2019-04-11 2:35:39,,,,,
22:35:40.199008|0.8|0.0|2019-04-11 02:35:40.199049,22:35:40,0.8,0,2019-04-11 2:35:40,,,,,
22:35:42.282587|0.9|0.0|2019-04-11 02:35:42.282649,22:35:42,0.9,0,2019-04-11 2:35:42,,,,,
22:35:43.754575|0.11|0.0|2019-04-11 02:35:43.754642,22:35:44,0.11,0,2019-04-11 2:35:44,,,,,
22:35:44.796563|0.12|0.0|2019-04-11 02:35:44.796633,22:35:45,0.12,0,2019-04-11 2:35:45,,,,,
22:35:45.923358|0.13|0.0|2019-04-11 02:35:45.923414,22:35:46,0.13,0,2019-04-11 2:35:46,,,,,
22:35:47.147587|0.14|0.0|2019-04-11 02:35:47.147647,22:35:47,0.14,0,2019-04-11 2:35:47,,,,,
22:35:48.227547|0.15|0.0|2019-04-11 02:35:48.227619,22:35:48,0.15,0,2019-04-11 2:35:48,,,,,
