DATE,LINE,RESULT,,,,TOTAL_ONES,,
,,,,,,1381,,
0.0005,0.21,0,,,,,,
0.0005,0.22,0,,,,,,
0.0005,0.23,0,,,,,,
0.0005,0.24,0,,,,,,
0.0010,0,0,,,,,,
0.0010,0.1,0,,,,,,
0.0010,0.2,1,,,,,,
0.0010,0.17,0,,,,,,
0.0010,0.4,0,,,,,,
0.0010,0.5,0,,,,,,
0.0010,0.6,0,,,,,,
0.0010,0.7,1,,,,,,
0.0010,0.8,0,,,,,,
0.0010,0.9,0,,,,,,
0.0010,0.11,1,,,,,,
0.0010,0.12,1,,,,,,
0.0010,0.13,0,,,,,,
0.0010,0.14,0,,,,,,
0.0010,0.15,1,,,,,,
0.0010,0.16,0,,,,,,
0.0010,0.18,0,,,,,,
0.0010,0.19,0,,,,,,
0.0010,0.21,0,,,,,,
0.0010,0.22,0,,,,,,
0.0010,0.23,0,,,,,,
0.0010,0.24,0,,,,,,
0.0015,0,0,,,,,,
0.0015,0.1,0,,,,,,
0.0015,0.2,1,,,,,,
0.0015,0.17,0,,,,,,
0.0015,0.4,0,,,,,,
0.0015,0.5,0,,,,,,
0.0015,0.6,0,,,,,,
0.0015,0.7,1,,,,,,
0.0015,0.8,0,,,,,,
0.0015,0.9,0,,,,,,
0.0015,0.11,1,,,,,,
0.0015,0.12,1,,,,,,
0.0015,0.13,0,,,,,,
0.0015,0.14,0,,,,,,
0.0015,0.15,1,,,,,,
0.0015,0.16,0,,,,,,
0.0015,0.18,0,,,,,,
0.0015,0.19,0,,,,,,
0.0015,0.21,0,,,,,,
0.0015,0.22,0,,,,,,
0.0015,0.23,0,,,,,,
0.0015,0.24,0,,,,,,
0.0020,0,0,,,,,,
0.0020,0.1,0,,,,,,
0.0020,0.2,1,,,,,,
0.0020,0.17,0,,,,,,
0.0020,0.4,0,,,,,,
0.0020,0.5,0,,,,,,
0.0020,0.6,0,,,,,,
0.0020,0.7,1,,,,,,
0.0020,0.8,0,,,,,,
0.0020,0.9,0,,,,,,
0.0020,0.11,1,,,,,,
0.0020,0.12,1,,,,,,
0.0020,0.13,0,,,,,,
0.0020,0.14,0,,,,,,
0.0020,0.15,1,,,,,,
0.0020,0.16,0,,,,,,
0.0020,0.18,0,,,,,,
0.0020,0.19,0,,,,,,
0.0020,0.21,0,,,,,,
0.0020,0.22,0,,,,,,
0.0020,0.23,0,,,,,,
0.0020,0.24,0,,,,,,
0.0025,0,0,,,,,,
0.0025,0.1,0,,,,,,
0.0025,0.2,1,,,,,,
0.0025,0.17,0,,,,,,
0.0025,0.4,0,,,,,,
0.0025,0.5,0,,,,,,
0.0025,0.6,0,,,,,,
0.0025,0.7,1,,,,,,
0.0025,0.8,0,,,,,,
0.0025,0.9,0,,,,,,
0.0025,0.11,1,,,,,,
0.0025,0.12,1,,,,,,
0.0025,0.13,0,,,,,,
0.0025,0.14,0,,,,,,
0.0025,0.15,1,,,,,,
0.0025,0.16,0,,,,,,
0.0025,0.18,0,,,,,,
0.0025,0.19,0,,,,,,
0.0025,0.21,0,,,,,,
0.0025,0.22,0,,,,,,
0.0025,0.23,0,,,,,,
0.0025,0.24,0,,,,,,
0.0030,0,0,,,,,,
0.0030,0.1,0,,,,,,
0.0030,0.2,1,,,,,,
0.0030,0.17,0,,,,,,
0.0030,0.4,0,,,,,,
0.0030,0.5,0,,,,,,
0.0030,0.6,0,,,,,,
0.0030,0.7,1,,,,,,
0.0030,0.8,0,,,,,,
0.0030,0.9,0,,,,,,
0.0030,0.11,1,,,,,,
0.0030,0.12,1,,,,,,
0.0030,0.13,0,,,,,,
0.0030,0.14,0,,,,,,
0.0030,0.15,1,,,,,,
0.0030,0.16,0,,,,,,
0.0030,0.18,0,,,,,,
0.0030,0.19,0,,,,,,
0.0031,0.21,0,,,,,,
0.0031,0.22,0,,,,,,
0.0031,0.23,0,,,,,,
0.0031,0.24,0,,,,,,
0.0035,0,0,,,,,,
0.0035,0.1,0,,,,,,
0.0035,0.2,1,,,,,,
0.0035,0.17,0,,,,,,
0.0035,0.4,0,,,,,,
0.0035,0.5,0,,,,,,
0.0035,0.6,0,,,,,,
0.0035,0.7,1,,,,,,
0.0035,0.8,0,,,,,,
0.0035,0.9,0,,,,,,
0.0035,0.11,1,,,,,,
0.0035,0.12,1,,,,,,
0.0035,0.13,0,,,,,,
0.0035,0.14,0,,,,,,
0.0035,0.15,1,,,,,,
0.0035,0.16,0,,,,,,
0.0035,0.18,0,,,,,,
0.0035,0.19,0,,,,,,
0.0035,0.21,0,,,,,,
0.0035,0.22,0,,,,,,
0.0035,0.23,0,,,,,,
0.0035,0.24,0,,,,,,
0.0040,0,0,,,,,,
0.0040,0.1,0,,,,,,
0.0040,0.2,1,,,,,,
0.0040,0.17,0,,,,,,
0.0040,0.4,0,,,,,,
0.0040,0.5,0,,,,,,
0.0040,0.6,0,,,,,,
0.0040,0.7,1,,,,,,
0.0040,0.8,0,,,,,,
0.0040,0.9,0,,,,,,
0.0040,0.11,1,,,,,,
0.0040,0.12,1,,,,,,
0.0040,0.13,0,,,,,,
0.0040,0.14,0,,,,,,
0.0040,0.15,1,,,,,,
0.0040,0.16,0,,,,,,
0.0040,0.18,0,,,,,,
0.0040,0.19,0,,,,,,
0.0040,0.21,0,,,,,,
0.0040,0.22,0,,,,,,
0.0040,0.23,0,,,,,,
0.0040,0.24,0,,,,,,
0.0045,0,0,,,,,,
0.0045,0.1,0,,,,,,
0.0045,0.2,1,,,,,,
0.0045,0.17,0,,,,,,
0.0045,0.4,0,,,,,,
0.0045,0.5,0,,,,,,
0.0045,0.6,0,,,,,,
0.0045,0.7,1,,,,,,
